,s,s_ei,s_e1,s_g0,s_g5,s_d5,s_d2
77,2.066446,7.482288,2.516716,11.929913,4.333251,1.5882980000000002,8.451853
78,2.22365,2.624947,4.693557,17.704379,6.100391,1.5665479999999998,9.813471999999999
79,2.413622,3.4146870000000002,2.090821,11.442701,6.349291999999999,1.428655,5.924519
80,2.435729,6.5198409999999996,8.186879,9.839205,8.97635,1.456127,8.579448000000001
81,2.117551,10.195439,4.59149,10.211829,6.503148,1.411709,12.841000999999999
82,2.073791,2.3940639999999997,2.848992,16.04948,7.138456,1.9444400000000002,11.196019999999999
83,2.293271,6.515197000000001,7.612318999999999,8.944099,7.963621,1.466544,12.434458
84,2.927134,2.938814,7.2759480000000005,12.020504,7.118964999999999,1.50766,9.665172
85,2.1927950000000003,3.181032,2.398698,15.659567,6.385643000000001,1.59919,13.595286000000002
86,2.009846,3.303731,1.602445,10.931723,4.827178,1.465368,9.962722
87,2.0309150000000002,2.661585,7.640103,12.927159,6.872122,1.587593,5.807543
88,2.429303,11.119687,10.723753,11.424761,6.711585,1.1854140000000002,7.6098490000000005
89,2.110377,3.644128,7.9608159999999994,10.471686,8.131283999999999,1.304003,10.581077
90,1.8437189999999999,1.6496469999999999,1.673493,11.774461,6.222049,1.493674,9.62292
91,2.2341320000000002,2.716911,1.9041990000000002,13.409108,7.916689000000001,1.42489,7.843044000000001
92,2.223325,7.401128999999999,1.762884,14.811475,7.584994,1.359408,10.798580000000001
93,2.437027,8.912455,4.257455,8.745587,8.493670999999999,1.380465,12.491813
94,2.418336,2.915899,1.439348,12.504645,9.170708,1.326503,11.451346
95,3.95698,4.307073,4.013681999999999,7.411822999999999,7.0414829999999995,1.579753,6.952429
96,3.040555,2.2705949999999997,7.972783,8.82652,5.867723,1.535596,9.70877
97,2.428795,2.367813,4.77586,7.48376,6.7495650000000005,1.490384,4.6443650000000005
98,2.5661199999999997,5.677629,12.859490000000001,7.857559999999999,6.880979,1.481404,5.634951
99,2.534611,4.217152,5.247638,8.110482,6.828895999999999,1.327201,5.329123
