,s,s_ei,s_e1,s_g0,s_g5,s_d5,s_d2
0,108.504374,44.930811999999996,56.941863999999995,102.142783,53.295840999999996,72.87410399999999,96.325833
1,116.69297999999999,93.246523,100.622211,44.043389,43.798362000000004,85.766888,98.163202
2,100.341572,133.155705,133.154132,36.867354,59.474253,75.416585,74.296874
3,85.738795,76.29459899999999,114.234165,19.273901,11.481269,68.430077,72.686631
4,88.084403,82.26853,104.350683,19.058887,7.559555,78.64421,50.355678999999995
5,88.442114,121.89507100000002,107.74385500000001,14.104061000000002,7.038612,70.768039,82.167981
6,94.331758,73.700159,102.39984,12.441904,9.664039,76.367028,60.638510999999994
7,101.863175,35.948774,79.533861,15.411248,11.352495999999999,82.253946,88.466162
8,94.80703299999999,37.808334,98.931996,12.360566,8.311358,88.257605,115.856725
9,77.477963,69.095805,64.77775799999999,22.676861000000002,8.638281000000001,101.45363700000001,108.48673900000001
10,81.61408999999999,23.957410000000003,56.629160999999996,12.772407999999999,6.119307,111.53123099999999,40.265603
11,76.050217,83.331798,80.820165,12.015623,10.936234,117.25994200000001,23.31702
12,81.598242,42.049849,33.094121,19.292688,11.270280000000001,107.056612,17.229209
13,79.407998,21.737338,31.796964,11.896930999999999,8.376182,95.78443800000001,21.839782
14,66.795969,9.639507,22.42214,17.190889000000002,8.276456,94.14015500000001,31.320147
15,70.80746599999999,9.260955,10.665246,20.891449,6.624661,81.391598,27.602447
16,66.128057,11.304198999999999,14.974012,12.294604000000001,4.948085,67.42766300000001,33.664339999999996
17,69.610287,6.756051,7.369071000000001,11.547326,11.250918,61.816804000000005,28.642837
18,74.161079,9.71043,10.681153,12.798668,6.038215999999999,68.475753,31.204917
19,65.283499,9.049263999999999,16.154647,12.619727,10.480936,77.250158,27.533453
20,58.505311999999996,11.640956,11.61493,10.719889,10.178391000000001,74.378898,27.006200000000003
21,57.22986100000001,13.733527,5.647067,7.8288079999999995,8.545888,68.588548,23.167568
22,50.164883,5.070732,6.411424,11.086021,12.001539,76.85231,17.781484
23,36.761907,9.145053,3.486801,11.234,10.427151,68.520564,24.822014
24,43.789369,5.259735,4.152116,15.048432,8.000988000000001,61.427403999999996,32.531695
25,29.833247,16.664603,13.712071,7.4969019999999995,15.851061999999999,58.665839,30.396351
